"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-01","0.00","0.0","0.0",,"71","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-02","0.00","0.0","0.0",,"78","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-03","0.00","0.0","0.0",,"74","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-04","0.00","0.0","0.0",,"75","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-05","0.00","0.0","0.0",,"73","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-06","0.00","0.0","0.0",,"68","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-07","0.00","0.0","0.0",,"74","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-08","0.32","0.0","0.0",,"68","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-09","1.45","0.0","0.0",,"64","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-10","0.00","0.0","0.0",,"66","48"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-11","0.00","0.0","0.0",,"70","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-12","0.00","0.0","0.0",,"72","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-13","0.00","0.0","0.0",,"84","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-14","0.00","0.0","0.0",,"83","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-15","0.00","0.0","0.0",,"72","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-16","0.00","0.0","0.0",,"72","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-17","0.00","0.0","0.0",,"78","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-18","0.00","0.0","0.0",,"76","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-19","0.00","0.0","0.0",,"65","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-20","0.00","0.0","0.0",,"62","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-21","0.00","0.0","0.0",,"64","42"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-22","0.00","0.0","0.0",,"69","44"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2018-01-23","0.00","0.0","0.0",,"75","46"
